indicator,signal,regime,horizon,n,mean,median,p25,p75,win_rate
KDJ,dead,bear,20d,5924,0.01282782965034014,0.016348179116634554,-0.03690952811240328,0.06508936887509836,0.5840648210668468
KDJ,dead,bull,20d,47014,0.011375332144588012,0.010779818941121011,-0.02569599857444657,0.047927626549256364,0.5693009498416931
KDJ,golden,bear,20d,6090,0.011571610380284716,0.013092672292362217,-0.0435651789132068,0.06620805689465908,0.5602627257799672
KDJ,golden,bull,20d,47113,0.010531380837142208,0.01106477146991236,-0.025809994508511958,0.04649000464900044,0.5702645104675943
MA,dead,bear,20d,312,0.03047636570858862,0.038468883738291715,-0.021278871016377238,0.08537410842754156,0.657051282051282
MA,dead,bull,20d,1227,0.007003917263288171,0.004975124378109541,-0.03038562158779423,0.046688877382552674,0.5385232744783307
MA,golden,bear,20d,168,-0.01764754065815673,-0.013395508379125565,-0.06149298395922251,0.04084345404326911,0.43452380952380953
MA,golden,bull,20d,1640,0.009772048609969317,0.008152291602262274,-0.021193002002935696,0.04175784004521327,0.5595947556615017
MACD,dead,bear,20d,2599,0.009403321152446527,0.0074666666666667325,-0.045940863008897825,0.06227673992891769,0.5421315890727203
MACD,dead,bull,20d,22233,0.012287208637628872,0.011228745588707012,-0.024872231686541735,0.04811133200795226,0.5715163215163215
MACD,golden,bear,20d,2627,0.012903350004321744,0.018144611186903026,-0.04450384750220404,0.0694840665534241,0.5812714122573277
MACD,golden,bull,20d,22252,0.011851475183845894,0.011552314482033754,-0.02525826427523678,0.04778408044026344,0.5795085973252766
KDJ,dead,bear,5d,5924,0.0019000719675639722,0.0063980436259749585,-0.023400503121322858,0.028883413523194346,0.5681971640783254
KDJ,dead,bull,5d,47874,0.0029523530755479546,0.0028471593591909983,-0.013915326262942646,0.019792273402935545,0.5449925012497917
KDJ,golden,bear,5d,6090,0.00824733625233924,0.00721570202565569,-0.013544983567531699,0.029969359767630432,0.5850574712643678
KDJ,golden,bull,5d,47750,0.0014403285607853564,0.0020794652918258993,-0.01574340609783595,0.019333976287208454,0.5303581129079437
MA,dead,bear,5d,312,0.006387766274439565,0.005052914674638753,-0.017671783625731047,0.03254674424827059,0.5480769230769231
MA,dead,bull,5d,1240,0.0015326365995585625,0.0007324823723515728,-0.015636296390802107,0.01908764604690516,0.514446227929374
MA,golden,bear,5d,168,0.00362561274806184,0.006495287730822419,-0.012337210214250521,0.02437627100799583,0.5833333333333334
MA,golden,bull,5d,1670,0.001940950360120427,0.0020238693567989907,-0.012348809678906808,0.016482342017300144,0.534564958283671
MACD,dead,bear,5d,2599,0.0018697630375442537,0.0036416605972322547,-0.02730882257655265,0.031051878526164756,0.5344363216621778
MACD,dead,bull,5d,22585,0.0032466827412937515,0.003268641470888678,-0.013707296499367305,0.020262869660460092,0.5487890487890488
MACD,golden,bear,5d,2627,0.00451504069064255,0.004917456972251433,-0.018948836744105413,0.029579128061905657,0.5569090216977541
MACD,golden,bull,5d,22487,0.0028012433736061713,0.0034894645014091896,-0.014852700762151227,0.021072112753147243,0.5535166836984049
