indicator,signal,regime,sector,horizon,n,mean,median,p25,p75,win_rate
KDJ,dead,bear,Communication Services,20d,178,0.015584386820110693,0.015291851388867683,-0.027012170834548488,0.06129225922532494,0.5674157303370787
KDJ,dead,bear,Consumer Discretionary,20d,432,0.011090540400284156,0.016562296969099943,-0.03783567581526995,0.06251334718663937,0.5763888888888888
KDJ,dead,bear,Consumer Staples,20d,429,0.023346046675505848,0.019107372023385194,-0.012918929039505644,0.05927835051546393,0.6643356643356644
KDJ,dead,bear,Energy,20d,172,0.006157590825911801,0.015113931792712254,-0.07342133744838253,0.09365238578295193,0.5465116279069767
KDJ,dead,bear,Financials,20d,756,0.006969903779305988,0.016070542489755035,-0.03402204631519595,0.05731027562306745,0.58994708994709
KDJ,dead,bear,Health Care,20d,559,0.012393500237906016,0.012225638092514535,-0.033782551897309276,0.05658397514952418,0.5599284436493739
KDJ,dead,bear,Industrials,20d,574,0.010955090840974615,0.009559339979662629,-0.035034382547986104,0.06009857542184749,0.5557491289198606
KDJ,dead,bear,Information Technology,20d,473,0.021562783526152273,0.02534287418008363,-0.04323136105513847,0.08268874605076793,0.6046511627906976
KDJ,dead,bear,Materials,20d,210,0.015657116579121833,0.0006596718853816297,-0.07576083792152269,0.0910736555750466,0.5047619047619047
KDJ,dead,bear,Real Estate,20d,288,0.02786130656298351,0.030760577692921953,-0.010087858768287133,0.07366975125758563,0.6944444444444444
KDJ,dead,bear,Unknown,20d,1493,0.006322810545589814,0.010518679724338176,-0.05244755244755239,0.06497313141182226,0.5445411922304085
KDJ,dead,bear,Utilities,20d,360,0.021988137052247288,0.03030173396472602,-0.012297421513164597,0.06727605055327379,0.6888888888888889
KDJ,dead,bull,Communication Services,20d,1405,0.014699846584288542,0.009383378016085908,-0.02614758861127242,0.04688279301745624,0.5625
KDJ,dead,bull,Consumer Discretionary,20d,3592,0.01478165014163215,0.013869453967605305,-0.025006350417115963,0.05403590964087951,0.5806979280261723
KDJ,dead,bull,Consumer Staples,20d,3211,0.00778315882302595,0.0077319587628865705,-0.022214346812345298,0.03644584997437783,0.5649509803921569
KDJ,dead,bull,Energy,20d,1576,0.0014850994392294383,0.0005992009342911109,-0.04439021183585598,0.04641658380262065,0.49285270354257305
KDJ,dead,bull,Financials,20d,5174,0.016374543942143754,0.015970495522470762,-0.015759923603325565,0.048143117403023794,0.6224876753886993
KDJ,dead,bull,Health Care,20d,4353,0.016064033940886985,0.01520837448153256,-0.01957629391257698,0.05099391117478502,0.6029312288613303
KDJ,dead,bull,Industrials,20d,4923,0.01496700454098722,0.013152804642166283,-0.02009562569886658,0.049091973852898874,0.5949266745937376
KDJ,dead,bull,Information Technology,20d,3731,0.017736534154530918,0.013775829680651164,-0.024443539454122087,0.055420483650925334,0.5749083289680461
KDJ,dead,bull,Materials,20d,1761,0.01089963758917688,0.010158402203856776,-0.028003420265070633,0.048328244843249824,0.5684093437152391
KDJ,dead,bull,Real Estate,20d,2270,0.00470461122500511,0.005958086256807715,-0.02916714569633075,0.04076708812104474,0.5365326415910073
KDJ,dead,bull,Unknown,20d,12396,0.008059115879268653,0.008253649696205456,-0.03311793234552421,0.0499903375418706,0.5443847733375454
KDJ,dead,bull,Utilities,20d,2622,0.0035995125427714272,0.006111326083332869,-0.026663801630320838,0.03621846528529682,0.5386049981350243
KDJ,golden,bear,Communication Services,20d,187,0.011574830864743878,0.012903225806451424,-0.042490610591988165,0.05605144824567543,0.5614973262032086
KDJ,golden,bear,Consumer Discretionary,20d,436,0.014147481747504694,0.014984752946964996,-0.04769270642131798,0.07169588082244266,0.5779816513761468
KDJ,golden,bear,Consumer Staples,20d,442,0.017161470799667483,0.01688819739213343,-0.02055363115145717,0.050220792175149465,0.6085972850678733
KDJ,golden,bear,Energy,20d,189,0.00013112183164360003,0.0039011703511053764,-0.08062499999999995,0.08704390847247989,0.5343915343915344
KDJ,golden,bear,Financials,20d,765,0.0021235851793578652,0.007779842080817501,-0.0499243570347957,0.05871822413175809,0.534640522875817
KDJ,golden,bear,Health Care,20d,561,0.005350990821564453,-0.0006518297793091099,-0.045699758169529425,0.056836091410559675,0.49554367201426025
KDJ,golden,bear,Industrials,20d,625,0.016292079917967706,0.017272298253893315,-0.042553191489361764,0.07212013436079823,0.5728
KDJ,golden,bear,Information Technology,20d,474,0.019931065962842925,0.024285582008942264,-0.04931050500120024,0.0853885809168724,0.5907172995780591
KDJ,golden,bear,Materials,20d,231,0.019916662453888855,0.012510692899914577,-0.0664233791015425,0.10558330968842888,0.5194805194805194
KDJ,golden,bear,Real Estate,20d,282,0.027159051442511843,0.0308723579700787,-0.014665801563464753,0.0712906940363896,0.6382978723404256
KDJ,golden,bear,Unknown,20d,1542,0.0063375563448733584,0.006814457781843197,-0.05832718515178492,0.0697464928598801,0.5239948119325551
KDJ,golden,bear,Utilities,20d,356,0.023145288025353757,0.02894849640717423,-0.008326831273648666,0.05869672729444758,0.7078651685393258
KDJ,golden,bull,Communication Services,20d,1402,0.014180514417618514,0.008153742085044824,-0.02690282707077543,0.0489030675279748,0.5525210084033614
KDJ,golden,bull,Consumer Discretionary,20d,3607,0.011722869034668269,0.012795657231485125,-0.02638597064330578,0.050701704838892137,0.573806275579809
KDJ,golden,bull,Consumer Staples,20d,3217,0.006091163259381659,0.006011163589523472,-0.02386807464197871,0.03555853740355586,0.5482779827798278
KDJ,golden,bull,Energy,20d,1567,0.00040985823626576594,-0.0006576783952646492,-0.042455116982394736,0.04640200044819476,0.4824561403508772
KDJ,golden,bull,Financials,20d,5210,0.015863785936313157,0.016245868100412175,-0.014914872429792142,0.04673720606867149,0.6240986717267553
KDJ,golden,bull,Health Care,20d,4375,0.014864395728171461,0.013696689179615529,-0.021336803296464923,0.049820621310964874,0.6055668703326544
KDJ,golden,bull,Industrials,20d,4911,0.014814617913063108,0.014709135147091379,-0.018118415372648744,0.04751356216129454,0.5979237372729088
KDJ,golden,bull,Information Technology,20d,3762,0.016385728170065703,0.015410756178626417,-0.025646715128776254,0.05385433452223792,0.5861256544502618
KDJ,golden,bull,Materials,20d,1745,0.010031148904814552,0.010683974038941502,-0.02858326429163216,0.048357743305312395,0.5666854248733821
KDJ,golden,bull,Real Estate,20d,2280,0.004904729210827782,0.0075494032687437596,-0.028416725402543253,0.038724069186476306,0.555603448275862
KDJ,golden,bull,Unknown,20d,12398,0.007859285919229807,0.009407712333295959,-0.0331752034320667,0.04893679310393567,0.5498415213946117
KDJ,golden,bull,Utilities,20d,2639,0.0021052054736984687,0.004950495049504733,-0.028910572802105572,0.03352186318659467,0.5268056589724497
MA,dead,bear,Communication Services,20d,8,0.06372939408136616,0.06678226398762832,0.027393596210626314,0.09278737044774893,1.0
MA,dead,bear,Consumer Discretionary,20d,20,0.023440189143810786,0.04749606731697387,-0.03623392693566882,0.08781758510213489,0.6
MA,dead,bear,Consumer Staples,20d,15,0.03384485357667896,0.018466987098406218,-0.007655406484614158,0.09135158530283738,0.7333333333333333
MA,dead,bear,Energy,20d,6,0.014260112655051671,0.030538982081693866,-0.04561701602513937,0.12349612041128372,0.5
MA,dead,bear,Financials,20d,53,0.01341352995772032,0.019464720194647178,-0.022167017007452605,0.06351981351981362,0.5660377358490566
MA,dead,bear,Health Care,20d,49,0.031726829875106756,0.031906811851101446,-0.0192698496186674,0.08600315126050417,0.673469387755102
MA,dead,bear,Industrials,20d,29,0.04635808930990433,0.04350361035116834,0.0036467830164106374,0.08786324786324795,0.7586206896551724
MA,dead,bear,Information Technology,20d,28,0.04930198713606888,0.04910129883769787,-0.009843415675722722,0.11023283936361289,0.6785714285714286
MA,dead,bear,Materials,20d,11,0.014155332434106695,0.013451631368059491,-0.0406443168262815,0.08878540884264696,0.6363636363636364
MA,dead,bear,Real Estate,20d,6,0.0805183782736374,0.08984197495104451,0.06541870814348982,0.1255629169037325,0.8333333333333334
MA,dead,bear,Unknown,20d,86,0.026088491581372206,0.036943731153959436,-0.04203071887274837,0.08166800429584137,0.627906976744186
MA,dead,bear,Utilities,20d,1,0.06395250212044101,0.06395250212044101,0.06395250212044101,0.06395250212044101,1.0
MA,dead,bull,Communication Services,20d,49,0.009477581316734424,-0.0014880952380952328,-0.028328611898017053,0.042245021122510495,0.4897959183673469
MA,dead,bull,Consumer Discretionary,20d,95,0.002618542395772728,0.0034434183753326852,-0.035842834236195886,0.04229657203156023,0.5157894736842106
MA,dead,bull,Consumer Staples,20d,110,0.00866843291885637,0.00250530716718822,-0.026427470645051243,0.035739784328318536,0.5181818181818182
MA,dead,bull,Energy,20d,45,-0.013505429334530316,-0.009617861743237532,-0.06858019281332173,0.042137501320097304,0.4666666666666667
MA,dead,bull,Financials,20d,103,0.02706570358902167,0.02461754879549871,-0.008947330961527666,0.0638531108896726,0.6952380952380952
MA,dead,bull,Health Care,20d,103,0.028061193884775924,0.0116537907555323,-0.00918325111546453,0.06911284698680809,0.6346153846153846
MA,dead,bull,Industrials,20d,113,0.01091523901622236,0.013746505125815434,-0.03198349239102405,0.057333333333333236,0.6017699115044248
