ticker,entry_date,exit_date,entry_price,exit_price,holding_days,trade_return
BAC,2014-02-20,2014-04-17,16.3,16.15,41,-0.0030864197530859894
FB,2014-03-04,2014-04-09,68.8,62.41,27,-0.0741729713692334
MSFT,2014-03-05,2014-04-02,38.11,41.35,21,0.0765425670398332
JPM,2014-03-06,2014-04-25,58.9,55.7,36,-0.042297111416781386
NFLX,2014-03-11,2014-04-03,62.4971,50.6699,18,-0.19379505774869976
GOOGL,2014-03-12,2014-04-03,604.2536,571.5,17,-0.048443626736819234
AAPL,2014-03-31,2014-05-01,76.6771,84.4971,23,0.10174041844102999
MSFT,2014-04-07,2014-07-18,39.8,44.69,72,0.12089290193127655
GE,2014-04-09,2014-07-10,25.95,26.2,64,0.01747572815533971
XOM,2014-05-16,2014-06-23,100.74,104.38,26,0.03572137328835079
FB,2014-06-10,2014-06-18,65.77,65.6,7,0.043256997455470625
GOOGL,2014-06-11,2014-07-01,567.5,591.49,15,0.04080591237022735
C,2014-06-17,2014-07-10,47.79,46.9,17,-0.015533165407220828
AMZN,2014-06-20,2014-07-18,324.2,358.66,20,0.09681957186544343
FB,2014-06-20,2014-08-04,64.5,73.51,31,0.14249745498628408
AAPL,2014-06-23,2014-07-03,90.83,94.03,9,0.0343196568034323
GOOG,2014-06-25,2014-07-01,578.65,582.67,5,0.031968403528036315
JPM,2014-06-25,2014-07-23,57.53,59.0,20,0.027516544757923533
NFLX,2014-06-25,2014-06-25,63.4585,63.4585,1,0.017989287278362243
XOM,2014-06-25,2014-08-11,102.14,98.73,33,-0.03893701937116767
BAC,2014-06-30,2014-08-11,15.37,15.22,30,-0.0071754729288973085
NFLX,2014-07-08,2014-08-25,63.5785,68.7042,35,0.044092348653856916
GOOG,2014-07-09,2014-07-11,576.08,579.18,3,0.0141658932917752
GOOGL,2014-07-09,2014-07-11,583.36,586.65,3,0.014263485477178373
C,2014-07-16,2014-07-23,49.82,50.18,6,0.01805640089267624
AAPL,2014-07-17,2014-08-21,93.0899,100.58,26,0.06119434479848063
GOOG,2014-07-18,2014-08-04,595.08,573.15,12,-0.0010107543636825866
GOOGL,2014-07-18,2014-08-04,605.11,582.27,12,0.0024964705072136884
AMZN,2014-07-28,2014-08-04,320.41,313.65,6,-0.03197432178019188
MSFT,2014-07-29,2014-08-21,43.885,45.22,18,0.02842847395951753
JPM,2014-07-30,2014-08-22,58.91,58.49,18,-0.0025579809004099285
