ticker,entry_date,exit_date,entry_price,exit_price,holding_days,trade_return
AMZN,2016-07-14,2016-09-09,741.2,760.14,41,0.023578363384189727
MSFT,2016-07-18,2017-12-29,53.96,85.54,368,0.5929236499068864
AAPL,2016-07-21,2016-09-08,99.43,105.52,35,0.05562224889955947
FB,2016-07-27,2016-09-09,123.34,127.1,32,0.04850684705494146
GOOG,2016-07-27,2016-11-18,741.77,760.54,82,0.02995585168332382
NVDA,2016-08-03,2016-08-17,56.19,61.15,11,0.0911848679514633
BAC,2016-08-05,2017-04-10,15.05,23.02,171,0.58977900552486
GOOGL,2016-08-19,2016-11-16,799.65,779.98,63,-0.028364995328558518
NVDA,2016-08-29,2016-09-09,61.99,59.52,9,-0.04046429147186825
AAPL,2016-09-13,2016-11-17,107.95,109.95,48,0.04277314112291397
AMZN,2016-09-13,2016-09-27,761.01,816.11,11,0.05783613527070952
FB,2016-09-13,2016-09-23,127.21,127.96,9,-0.005672546429403957
NVDA,2016-09-13,2017-03-08,59.87,98.56,122,0.6223868312757181
FB,2016-09-27,2016-11-03,128.69,120.0,28,-0.05741889875108008
AMZN,2016-10-12,2016-11-11,834.09,739.01,23,-0.11069795427196183
FB,2016-11-07,2016-11-11,122.15,119.02,5,-0.014327122153209304
AAPL,2016-12-23,2017-06-29,116.52,143.68,129,0.2355318600051599
GOOG,2016-12-27,2017-05-01,791.55,912.57,86,0.15528351331164303
GOOGL,2016-12-30,2017-05-01,792.45,932.82,83,0.16184236747708236
AMZN,2017-01-17,2017-08-21,809.72,953.29,151,0.16661771544655823
FB,2017-01-20,2017-12-29,127.04,176.46,239,0.38345746765974176
GOOG,2017-05-19,2017-06-20,934.01,950.63,22,0.021919074647402725
GOOGL,2017-05-19,2017-06-20,954.65,968.99,22,0.01945291951604422
NVDA,2017-06-13,2017-12-20,151.4,196.8,134,0.3122624524904982
GOOGL,2017-06-27,2017-07-18,948.09,986.95,15,0.01528665041302757
GOOG,2017-06-28,2017-07-05,940.49,911.71,5,-0.016844057670947765
BAC,2017-07-03,2017-09-01,24.68,24.09,44,-0.007007419620774447
GOOG,2017-07-07,2017-07-18,918.59,965.4,8,0.06475201005856412
AAPL,2017-08-07,2017-10-04,158.81,153.48,42,-0.018607327834260556
BAC,2017-09-29,2017-12-29,25.34,29.52,64,0.15992141453830988
GOOG,2017-10-05,2017-12-29,969.96,1046.4,60,0.09952925353059916
GOOGL,2017-10-06,2017-12-29,993.64,1053.4,59,0.0692353759173352
AMZN,2017-10-23,2017-10-27,966.3,1100.95,5,0.12009237875288714
AAPL,2017-11-16,2017-12-29,171.1,169.23,30,0.0008871540099366637
AMZN,2017-11-30,2017-12-06,1176.75,1152.35,5,-0.007681245532907943
AMZN,2017-12-19,2017-12-29,1187.38,1169.47,8,-0.01773085386954254
